"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","Проверяет, что товары отображаются на странице","","2026-06-22","passed","2026-06-22","","Проверка наличия товаров и фильтрации","",""
"","1364","Пользователь может начать процесс оформления заказа","","2026-06-22","passed","2026-06-22","","Процесс оформления заказа","",""
"","848","Проверяет, что у товаров есть кнопка добавления в корзину","","2026-06-22","passed","2026-06-22","","Проверка наличия товаров и фильтрации","",""
"","2170","Добавляем товар в корзину и удаляем его","","2026-06-22","passed","2026-06-22","","Пользовательский путь: добавление и удаление товара","",""
"","942","Проверяет, что все товары имеют цену","","2026-06-22","passed","2026-06-22","","Проверка наличия товаров и фильтрации","",""
"","1071","Проверяет, что количество товара в корзине обновляется","","2026-06-22","passed","2026-06-22","","Процесс оформления заказа","",""
"","1288","Проверяет содержимое корзины после добавления товара","","2026-06-22","passed","2026-06-22","","Отображение корзины с товаром","",""
"","1211","Проверка отображения пустой корзины","","2026-06-22","passed","2026-06-22","","Отображение пустой корзины","",""
